Saving file... detailDownsampled.csv
Saving file... detailVolDownsampled.csv
Saving file... detailTempDownsampled.csv
         9069802 function calls (8944310 primitive calls) in 11.970 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 csvs.py:210(encoded_labels)
        3    0.000    0.000    0.176    0.059 csvs.py:223(save)
        3    0.000    0.000    0.173    0.058 csvs.py:250(_save)
        3    0.000    0.000    0.000    0.000 csvs.py:255(_save_header)
        3    0.003    0.001    0.173    0.058 csvs.py:283(_save_body)
        3    0.000    0.000    0.171    0.057 csvs.py:293(_save_chunk)
        3    0.000    0.000    0.001    0.000 csvs.py:299(<listcomp>)
        1    0.000    0.000    0.000    0.000 csvs.py:37(CSVFormatter)
        3    0.000    0.000    0.001    0.000 csvs.py:38(__init__)
        9    0.000    0.000    0.000    0.000 csvs.py:80(na_rep)
        9    0.000    0.000    0.000    0.000 csvs.py:84(float_format)
        9    0.000    0.000    0.000    0.000 csvs.py:88(decimal)
        9    0.000    0.000    0.000    0.000 csvs.py:92(header)
        6    0.000    0.000    0.000    0.000 csvs.py:96(index)
        3    0.000    0.000    0.000    0.000 dataclasses.py:1047(is_dataclass)
    20956    0.048    0.000    0.151    0.000 dtypes.py:1132(is_dtype)
    20956    0.041    0.000    0.142    0.000 dtypes.py:923(is_dtype)
    20853    0.030    0.000    0.030    0.000 flags.py:47(__init__)
        6    0.000    0.000    0.000    0.000 flags.py:51(allows_duplicate_labels)
        6    0.000    0.000    0.000    0.000 flags.py:83(allows_duplicate_labels)
        3    0.000    0.000    0.183    0.061 format.py:1034(to_csv)
        3    0.000    0.000    0.000    0.000 format.py:402(__init__)
        3    0.000    0.000    0.000    0.000 format.py:454(get_adjustment)
        3    0.000    0.000    0.000    0.000 format.py:468(__init__)
        3    0.000    0.000    0.000    0.000 format.py:537(is_truncated_horizontally)
        3    0.000    0.000    0.000    0.000 format.py:541(is_truncated_vertically)
        3    0.000    0.000    0.000    0.000 format.py:569(_initialize_sparsify)
        3    0.000    0.000    0.000    0.000 format.py:574(_initialize_formatters)
        3    0.000    0.000    0.000    0.000 format.py:587(_initialize_justify)
        3    0.000    0.000    0.000    0.000 format.py:593(_initialize_columns)
        3    0.000    0.000    0.000    0.000 format.py:601(_initialize_colspace)
        3    0.000    0.000    0.000    0.000 format.py:627(_calc_max_cols_fitted)
        3    0.000    0.000    0.000    0.000 format.py:638(_calc_max_rows_fitted)
        3    0.000    0.000    0.000    0.000 format.py:657(_adjust_max_rows)
        6    0.000    0.000    0.000    0.000 format.py:671(_is_in_terminal)
        3    0.000    0.000    0.000    0.000 format.py:695(truncate)
        3    0.000    0.000    0.000    0.000 format.py:929(__init__)
        3    0.000    0.000    0.000    0.000 frame.py:1158(__len__)
    20835    0.159    0.000    8.079    0.000 frame.py:2934(_ixs)
        3    0.000    0.000    0.000    0.000 frame.py:482(_constructor)
        9    0.003    0.000    0.347    0.039 frame.py:502(__init__)
        3    0.000    0.000    0.000    0.000 function.py:45(__call__)
        3    0.000    0.000    0.001    0.000 generic.py:10565(_logical_func)
        3    0.000    0.000    0.001    0.000 generic.py:10593(any)
        3    0.000    0.000    0.001    0.000 generic.py:10858(any)
    20853    0.101    0.000    0.131    0.000 generic.py:188(__init__)
        6    0.000    0.000    0.000    0.000 generic.py:227(attrs)
       12    0.000    0.000    0.000    0.000 generic.py:248(flags)
   503289    0.256    0.000    0.343    0.000 generic.py:30(_check)
        3    0.001    0.000    0.184    0.061 generic.py:3204(to_csv)
    20841    0.029    0.000    0.073    0.000 generic.py:340(_validate_dtype)
        3    0.000    0.000    0.001    0.000 generic.py:3803(_slice)
    20838    0.028    0.000    0.052    0.000 generic.py:3834(_set_is_copy)
